序号,楼盘名称,类型,地址,参考租金,可租面积,最近地铁,电话,网址,备注
1,致真大厦,北航科技园/甲级,海淀·知春路7号(北航南门),5-13元/㎡·天,100-4000㎡,10号线西土城站,010-65661852,http://www.zhizhends.cn/,北京航空航天大学科技园地标
2,世宁大厦,商务写字楼/5A,海淀·学院路35号,5元/㎡·天,2600㎡,昌平线学院桥站,010-69579650 / 400-079-6766,http://www.sndasha.cn/,免中介费可注册
3,科技财富中心,生态写字楼/5A,海淀·学清路8号,3-4元/㎡·天,227-2300㎡,昌平线学知园站,010-62958111,http://www.bjkjcfzx.cn/,地铁上盖落地窗24h空调
4,北京城建大厦,商务写字楼,海淀·北太平庄路18号,面议,180-1000㎡,距10/13号线约三站,010-56225887,https://chengjiandasha.com/,成熟商务区50余条公交
5,锦秋国际大厦,商务写字楼,海淀·知春路6号,约4元/㎡·天,70-850㎡,10号线西土城站,,https://www.jinqiuguoji.cn/,中心商务区免中介费可注册
6,盈都大厦,精装写字楼,海淀·知春路甲48号,约4.5元/㎡·天起,260-960㎡,10号线知春路站,,http://www.haoyuzaixian.com/a838/,精装带家具双地铁
7,健康智谷大厦,健康产业园,海淀·花园北路35号院,约4元/㎡·天,100-1500㎡,10号线牡丹园站,,https://www.ihealthwork.com/,医疗健康企业专属可注册
8,北邮科技大厦,北邮科技园,海淀·西土城路10号(北邮院内),约5.5元/㎡·天,540-6000㎡,12号线蓟门桥站,,https://www.xzlsd.com/fy/fyDetail/38286.html,北京邮电大学办公+住宿+会议综合体
9,京师科技大厦,北师大科技园/甲级,海淀·学院南路12号,5.5-7.5元/㎡·天,100-3000㎡,学院路一带,,http://www.jingshids.cn/,北京师范大学科技园A/B座
10,理工科技大厦,北理工/智能写字楼,海淀·中关村南大街9号,面议,主楼23层,4号线魏公村站D口,,http://www.lgkjds.cn/,北京理工大学配套齐全
11,双清大厦,甲级写字楼,海淀·双清路77号院(五道口),约8元/㎡·天,200-2000㎡,15号线清华东路西口,,http://www.bj-sydc.com/,近清华精装带家具
12,金码大厦,精装写字楼,海淀·学院路一带,2.5-3元/㎡·天,90-280㎡,双轨地铁上盖,,https://office.fang.com/zu/house/,小面积适合初创可注册
13,学清嘉创大厦,写字楼,海淀·学清路,2.3-4元/㎡·天,80-1500㎡,地铁口,,https://www.omiaozu.com/,有免租优惠
14,学院8号,精装复式,海淀·学清路甲18号,2-3元/㎡·天,200-7000㎡,学院路一带,,https://www.juduolou.com/fangyuan-bj-266611/,送露台家具齐
15,汇智大厦,精装小户型,海淀·学院路一带,2.99-3元/㎡·天,50-150㎡,地铁近,,https://www.shandianzu.cn/bj/loupan-317504/,精装带工位
16,中关村768创意产业园,独栋园区,海淀·学院路768号,4元/㎡·天起,500-1000㎡,学院路一带,,https://office.fang.com/zu/house/,免租最多6个月
17,中关村东升科技园,中关村示范园区,海淀·东升/学府区,面议,多户型,学院路/东升一带,,http://www.innoecos.cn/,海开园/北领地/学院园多个园区
