楼盘,位置,依托高校,租金参考,地铁,电话,网页
和盈中心,海淀·清河,,2.5-3元/㎡·天,13号线清河站,,https://m.anjuke.com/bj/xzl/zu/haidian-qinghe/
奥北科技园,海淀·清河,,3-4.1元/㎡·天,昌平线永泰庄站,,https://m.anjuke.com/bj/xzl/zu/haidian-qinghe/
强佑清河新城,海淀·清河,,2-3元/㎡·天,13号线清河站,,https://m.anjuke.com/bj/xzl/zu/haidian-qinghe/
建金中心,海淀·清河小营,,3.5元/㎡·天,昌平线清河小营桥站,,https://m.anjuke.com/bj/xzl/zu/haidian-qinghe/
宝盛广场,海淀·清河(宝盛路×黑泉路),,6元/㎡·天起,13号线清河站,,https://www.omiaozu.com/xzl_16007/
物联智谷科技园,海淀·西三旗清河,,2.8-3元/㎡·天,昌平线西小口站,,https://m.anjuke.com/bj/xzl/zu/haidian-qinghe/
中关村东升科技园北领地,海淀·东升镇/西小口,,2.5-3元/㎡·天,昌平线西小口站,,http://www.innoecos.cn/
新华创新大厦,海淀·西小口,,2.5元/㎡·天,昌平线西小口站,,https://m.anjuke.com/bj/xzl/zu/haidian-qinghe/
专家国际公馆,海淀·清河永泰庄,,2.51元/㎡·天,昌平线永泰庄站,,https://m.anjuke.com/bj/xzl/zu/haidian-qinghe/
北新科技园,海淀·清河育新,,2元/㎡·天,8号线育新站,,https://m.anjuke.com/bj/xzl/zu/haidian-qinghe/
